MetaboliteName;KEGG_Pathways_Total_Metabolites;KEGG.ID;CommonName;CAS;PubChem;ChEBI;mzPos;mzNEG;RT;PathwayID;PathwayName;"PathwayClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Adenine;Adenine;C00147;"Adenine; 6-Aminopurine";73-24-5;3447;16708;136.06177;134.04722;3.68;hsa00230;Purine metabolism;"Metabolism; Nucleotide metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
L-Threonic acid;Butanoic acid;C00246;"Butanoic acid; Butanoate; Butyrate; Butyric acid";107-92-6;3545;1 796 830 772;137.04445;135.0299;6.52;"hsa00650; hsa04973; hsa04974";"Butanoate metabolism; Carbohydrate digestion and absorption; Protein digestion and absorption";"Metabolism; Carbohydrate metabolism; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Hypoxanthine;Hypoxanthine;C00262;"Hypoxanthine; Purine-6-ol";68-94-0;3560;17368;137.04579;135.03123;4.63;hsa00230;Purine metabolism;"Metabolism; Nucleotide metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
o-Toluic acid;NA;C07215;"o-Toluate; o-Methylbenzoate; o-Toluic Acid; 2-Methylbenzoic acid";118-90-1;9424;2 887 236 632;137.05971;135.04515;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Phenylacetic acid;Phenylacetic acid;C07086;"Phenylacetic acid; Benzylformic acid; Phenylacetate; Benzeneacetic acid";103-82-2;9297;30745;137.05971;135.04515;5.22;hsa00360;Phenylalanine metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
1-Methylnicotinamide;1-Methylnicotinamide;C02918;"1-Methylnicotinamide; N(1)-Methylnicotinamide";3106-60-3;5841;16797;137.07094;NA;13.28;"hsa00760; hsa04976";"Nicotinate and nicotinamide metabolism; Bile secretion";"Metabolism; Metabolism of cofactors and vitamins; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Methylnicotinamide;NA;NA;NA;NA;NA;NA;137.07094;135.05639;2.69;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
6-Methylnicotinamide;NA;NA;NA;NA;NA;NA;137.07094;135.05639;2.54;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Methylnicotinamide;NA;NA;NA;NA;NA;NA;137.07094;135.05639;2.38;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
(R)-(+)-Limonene;NA;NA;NA;NA;NA;NA;137.13248;135.11792;4.9;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Aminobenzoic acid;Anthranilate;C00108;"Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate";118-92-3;3408;1 656 730 754;138.05496;136.0404;3.52;"hsa00380;"" hsa00400";"Tryptophan metabolism"";"" Phenylalanine";" tyrosine and tryptophan biosynthesis""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
2-Pyridylacetic acid;NA;NA;NA;NA;NA;NA;138.05496;136.0404;3.12;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Pyridylacetic acid;NA;NA;NA;NA;NA;NA;138.05496;136.0404;3.14;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Aminobenzoic acid;NA;C00568;"4-Aminobenzoate; ABEE; 4-Aminobenzoic acid; p-Aminobenzoate";150-13-0;3847;1 783 630 753;138.05496;136.0404;3.14;hsa00790;Folate biosynthesis;"Metabolism; Metabolism of cofactors and vitamins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Pyridylacetic acid;NA;NA;NA;NA;NA;NA;138.05496;136.0404;3.12;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Salicylamide;NA;NA;NA;NA;NA;NA;138.05496;136.0404;2.58;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Trigonelline;NA;C01004;"N-Methylnicotinate; Trigonelline; Trigenelline; 1-Methylpyridinio-3-carboxylate; Betaine nicotinate; Caffearin; Gynesine";535-83-1;4250;18123;138.05496;136.0404;5.57;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-hydroxybenzoic acid;NA;C00587;"3-Hydroxybenzoate; 3-Hydroxybenzoic acid;"" m-Hydroxybenzoic acid";99-06-9;3866;1 619 330 764;139.03897;137.02442;3.63;hsa00400;Phenylalanine;" tyrosine and tryptophan biosynthesis""""";"Metabolism""; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
4-Hydroxybenzoic acid;4-Hydroxybenzoate;C00156;"4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid";99-96-7;3456;1 787 930 763;139.03897;137.02442;4.99;"hsa00130; hsa00790";"Ubiquinone and other terpenoid-quinone biosynthesis; Folate biosynthesis";"Metabolism; Metabolism of cofactors and vitamins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Salicylic acid;NA;C00805;"Salicylate; o-Hydroxybenzoic acid; Salicylic acid";69-72-7;4063;1 691 430 762;139.03897;137.02442;2.13;hsa04976;Bile secretion;"Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Aminopyridine-3-carboxylic acid;NA;NA;NA;NA;NA;NA;139.0502;137.03565;3.18;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Hydroxypicolinamide;NA;NA;NA;NA;NA;NA;139.0502;137.03565;2.69;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Amino-nicotinic acid;Nicotinate;C00253;"Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid";59-67-6;3552;15940;139.0502;137.03565;3.67;"hsa00760; hsa05133";"Nicotinate and nicotinamide metabolism; Pertussis";"Metabolism; Metabolism of cofactors and vitamins; Human Diseases; Infectious disease: bacterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Imidazoleacrylic acid;Urocanate;C00785;"Urocanate; Urocanic acid";104-98-3;4043;2 724 730 817;139.0502;137.03565;4.89;hsa00340;Histidine metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
5-Aminopyridine-3-carboxylic acid;Nicotinate;C00253;"Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid";59-67-6;3552;15940;139.0502;137.03565;4.44;"hsa00760; hsa05133";"Nicotinate and nicotinamide metabolism; Pertussis";"Metabolism; Metabolism of cofactors and vitamins; Human Diseases; Infectious disease: bacterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
6-Aminopyridine-3-carboxylic acid;NA;NA;NA;NA;NA;NA;139.0502;137.03565;4.54;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Nicotinamide N-oxide;NA;NA;NA;NA;NA;NA;139.0502;137.03565;3.7;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
2-Hydroxypyridine-3-carboxylic acid  (2-hydroxynicotinic acid);Nicotinate;C00253;"Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid";59-67-6;3552;15940;140.03422;138.01967;2.76;"hsa00760; hsa05133";"Nicotinate and nicotinamide metabolism; Pertussis";"Metabolism; Metabolism of cofactors and vitamins; Human Diseases; Infectious disease: bacterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
3-Hydroxypicolinic acid;NA;C18620;3-Hydroxypicolinic acid;NA;124489294;64342;140.03422;138.01967;3.31;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Nitrophenol;NA;C00870;"4-Nitrophenol; p-Nitrophenol; PNP; Niphen; 4-Hydroxynitrobenzene";100-02-7;4127;16836;140.03422;138.01967;2.17;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
5-Hydroxynicotinic acid;Nicotinate;C00253;"Nicotinate; Nicotinic acid; Niacin; 3-Pyridinecarboxylic acid";59-67-6;3552;15940;140.03422;138.01967;7.49;"hsa00760; hsa05133";"Nicotinate and nicotinamide metabolism; Pertussis";"Metabolism; Metabolism of cofactors and vitamins; Human Diseases; Infectious disease: bacterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
6-Hydroxypyridine-2-carboxylic acid;NA;C10164;"Picolinic acid; 2-Pyridinecarboxylic acid";98-98-6;12350;28747;140.03422;138.01967;3.18;hsa00380;Tryptophan metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
6-Hydroxypyridine-3-carboxylic acid (6-hydroxynicotinic acid);NA;C01020;"6-Hydroxynicotinate; 6-Hydroxynicotinic acid";5006-66-6;4265;16168;140.03422;138.01967;4.06;hsa00760;Nicotinate and nicotinamide metabolism;"Metabolism; Metabolism of cofactors and vitamins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Isonicotinic acid N-oxide;NA;NA;NA;NA;NA;NA;140.03422;138.01967;4.24;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Nicotinic acid N-oxide;NA;NA;NA;NA;NA;NA;140.03422;138.01967;3.95;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Picolinic acid N-oxide;NA;C10164;"Picolinic acid; 2-Pyridinecarboxylic acid";98-98-6;12350;28747;140.03422;138.01967;5.03;hsa00380;Tryptophan metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Methylimidazoleacetic acid;Methylimidazoleacetic acid;C05828;"Methylimidazoleacetic acid; Tele-methylimidazoleacetic acid; 1-Methyl-4-imidazoleacetic acid; 1-Methylimidazole-4-acetate; Methylimidazoleacetate";2625-49-2;8122;1606;141.06585;139.0513;3.83;hsa00340;Histidine metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
O-Phosphorylethanolamine;Ethanolamine phosphate;C00346;"Ethanolamine phosphate; O-Phosphorylethanolamine; Phosphoethanolamine; O-Phosphoethanolamine";1071-23-4;3639;17553;142.02637;140.01182;8.48;"hsa00563; hsa00564; hsa00600; hsa04071";"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis; Glycerophospholipid metabolism; Sphingolipid metabolism; Sphingolipid signaling pathway";"Metabolism; Glycan biosynthesis and metabolism; Lipid metabolism; Environmental Information Processing; Signal transduction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
5-Hydroxymethyluracil;NA;C03088;5-Hydroxymethyluracil;4433-40-3;5986;16964;143.04512;141.03057;4.34;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
1-Aminocyclohexanecarboxylic acid;NA;C09822;"Cyclohexane-1-carboxylate; Cyclohexanecarboxylic acid; Hexahydrobenzoic acid";98-89-5;12010;36096;144.10191;142.08735;4.64;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Stachydrine;NA;C10172;"Stachydrine; Proline betaine; L-Proline betaine";471-87-4;12358;35280;144.10191;142.08735;4.75;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Acetamidobutanoic acid;Butanoic acid;C00246;"Butanoic acid; Butanoate; Butyrate; Butyric acid";107-92-6;3545;1 796 830 772;146.08117;144.06662;3.87;"hsa00650; hsa04973; hsa04974";"Butanoate metabolism; Carbohydrate digestion and absorption; Protein digestion and absorption";"Metabolism; Carbohydrate metabolism; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
N-Isobutyrylglycine;NA;NA;NA;NA;NA;NA;146.08117;144.06662;2.85;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
4-Guanidinobutyric acid;4-Guanidinobutanoate;C01035;"4-Guanidinobutanoate; 4-Guanidinobutyric acid";NA;4278;15728;146.0924;144.07785;7.8;hsa00330;Arginine and proline metabolism;"Metabolism; Amino acid metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Spermidine,Spermidine,C00315,""Spermidine;"" N-(3-Aminopropyl)-1";"4-butane-diamine""""";124-20-9;3609;16610;146.16517;144.15062;0;"hsa00330""; hsa00410; hsa00480; hsa02010; hsa04976";"Arginine and proline metabolism; beta-Alanine metabolism; Glutathione metabolism; ABC transporters; Bile secretion";"Metabolism; Amino acid metabolism; Metabolism of other amino acids; Environmental Information Processing; Membrane transport; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;
